name,price
Python全栈开发三剑客 （京东套装共3册）,283.00
Python编程 从入门到实践,70.20
[],[]
利用Python进行数据分析（原书第2版）,92.40
[],[]
Python编程快速上手 让繁琐工作自动化,34.50
Python学习手册（套装上下册）（原书第5版）,173.00
[],[]
Python基础教程（第3版）,78.20
对比Excel，轻松学习Python数据分析,51.90
笨办法学Python 3,29.50
Python核心编程（第3版）,49.50
"['零基础学', '从入门到精通 ', '编程自学', '基础入门项目实践 赠视频课程 R']",44.80
[],[]
Python零基础入门学习（第2版）,78.30
Python流畅的,109.80
Python从小白到大牛,89.00
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,30.30
[],[]
Python 3网络爬虫开发实战,78.20
Python深度学习,94.00
Python Cookbook（第3版）中文版,85.10
教孩子学编程 Python语言版,46.60
深度学习入门 基于Python的理论与实现,46.60
Python学习手册 原书第5版(2册) 华章图书 O'Reilly精品图书系列,147.90
疯狂Python讲义,103.80
Python金融大数据挖掘与分析全流程详解,88.90
Python从入门到精通（软件开发视频大讲堂）,79.80
Python算法图解,38.70
Python编程（第4版 套装上下册）,143.00
