,第三产业-绝对值
2019-12-31,141305.19999999995
2019-09-30,134620.40000000002
2019-06-30,130820.6
2019-03-31,127486.9
2018-12-31,129846.29999999999
2018-09-30,123134.79999999999
2018-06-30,119857.90000000001
2018-03-31,116861.8
2017-12-31,117067.70000000001
2017-09-30,109959.5
2017-06-30,106982.40000000001
2017-03-31,104346.3
2016-12-31,104334.0
2016-09-30,98067.79999999999
2016-06-30,95435.79999999999
2016-03-31,92990.5
2015-12-31,92840.6
2015-09-30,87897.9
2015-06-30,85747.40000000001
2015-03-31,83258.8
2014-12-31,82581.0
2014-09-30,77658.70000000001
2014-06-30,75921.9
2014-03-31,74492.4
2013-12-31,73695.49999999997
2013-09-30,69567.80000000002
2013-06-30,67997.69999999998
2013-03-31,66718.1
2012-12-31,65106.30000000002
2012-09-30,61176.399999999994
2012-06-30,59975.2
2012-03-31,58594.3
2011-12-31,57486.899999999994
2011-09-30,54083.100000000006
2011-06-30,52867.8
2011-03-31,51682.2
2010-12-31,49187.100000000006
2010-09-30,45422.600000000006
2010-06-30,44138.799999999996
2010-03-31,43310.1
2009-12-31,41540.80000000002
2009-09-30,38538.399999999994
2009-06-30,37618.2
2009-03-31,37064.8
2008-12-31,36060.79999999999
2008-09-30,33739.100000000006
2008-06-30,33631.6
2008-03-31,33392.4
2007-12-31,31468.90000000001
2007-09-30,28468.6
2007-06-30,28144.6
2007-03-31,27702.5
2006-12-31,24574.59999999999
2006-09-30,22189.800000000003
2006-06-30,22347.9
2006-03-31,22647.4
